里程碑ID,里程碑名称,阶段,验收项ID,验收项描述,验收类型,负责人角色,通过标准,证据类型,状态,计划验收日期
M1,设计器 MVP 完成,P1,M1-AC-001,可创建节点并连线保存草稿,功能,FE-A+FE-B,重复打开模板后画布一致,录屏+截图,待开始,2026-05-02
M1,设计器 MVP 完成,P1,M1-AC-002,老模板可自动转图回显,兼容性,FE-B,随机抽样3个旧模板均可回显,录屏+样例ID,待开始,2026-05-02
M1,设计器 MVP 完成,P1,M1-AC-003,表单模式与设计器模式可切换,回归,FE-A,切换后不丢数据且无报错,录屏+日志,待开始,2026-05-02
M1,设计器 MVP 完成,P1,M1-AC-004,后端 get/save/validate 命令稳定,接口,BE,前端联调连续10次无失败,接口调用记录,待开始,2026-05-02
M1,设计器 MVP 完成,P1,M1-AC-005,P1 回归无阻塞缺陷,质量,全员,P0/P1 缺陷为0,缺陷清单,待开始,2026-05-02
M2,发布编译兼容完成,P2,M2-AC-001,合法图可发布并生成执行阶段,功能,BE,发布成功且 stages 持久化正确,DB 查询截图+录屏,待开始,2026-05-10
M2,发布编译兼容完成,P2,M2-AC-002,非法图发布被阻断并返回可定位错误,校验,BE+FE-A,错误项可定位节点边,录屏+错误样例,待开始,2026-05-10
M2,发布编译兼容完成,P2,M2-AC-003,发布后可创建任务并按旧引擎流转,联调,FE-B+BE,通过/驳回行为与现网一致,端到端录屏,待开始,2026-05-10
M2,发布编译兼容完成,P2,M2-AC-004,发布失败事务回滚完整,一致性,BE,数据库无半更新数据,故障注入记录,待开始,2026-05-10
M2,发布编译兼容完成,P2,M2-AC-005,P2 回归无阻塞缺陷,质量,全员,P0/P1 缺陷为0,缺陷清单,待开始,2026-05-10
M3,执行态可视化完成,P3,M3-AC-001,任务详情可显示只读流程图,功能,FE-A,正常展示且无闪烁白屏,录屏,待开始,2026-05-17
M3,执行态可视化完成,P3,M3-AC-002,current_stage_index 对应节点高亮正确,准确性,FE-B,抽样5个任务全部正确,对照截图,待开始,2026-05-17
M3,执行态可视化完成,P3,M3-AC-003,通过/驳回路径着色正确,准确性,FE-B,与 task_events 一致率100%,对照截图+日志,待开始,2026-05-17
M3,执行态可视化完成,P3,M3-AC-004,时间线与流程图双向联动可用,交互,FE-A,点击事件可定位节点且反向过滤生效,录屏,待开始,2026-05-17
M3,执行态可视化完成,P3,M3-AC-005,无图数据时可降级线性视图,容错,FE-B,无 graph 场景无崩溃且提示清晰,录屏+截图,待开始,2026-05-17
M3,执行态可视化完成,P3,M3-AC-006,常规图渲染在1秒内完成,性能,FE-A+FE-B,节点<=100场景满足目标,性能记录,待开始,2026-05-17
M3,执行态可视化完成,P3,M3-AC-007,P3 回归无阻塞缺陷,质量,全员,P0/P1 缺陷为0,缺陷清单,待开始,2026-05-17
GO,上线准入,跨阶段,GO-AC-001,P1/P2/P3 所有 P0 任务完成,发布准入,PM+TL,任务看板中 P0 全部完成,看板截图,待开始,2026-05-18
GO,上线准入,跨阶段,GO-AC-002,完整端到端演示链路通过,发布准入,全员,设计->发布->创建->推进/驳回->回放全通过,演示录屏,待开始,2026-05-18
GO,上线准入,跨阶段,GO-AC-003,feature flag 回滚验证通过,发布准入,BE+FE-B,关闭 flag 后旧模式可用且数据无损,回滚演练记录,待开始,2026-05-18
