风险ID,风险标题,风险描述,影响阶段,概率,影响程度,风险等级,触发信号,当前状态,负责人角色,应对策略,备用方案,下一次复核日期
R-001,WorkflowConfigModal 冲突频繁,多人并行改动同一文件导致冲突和回归,P1,高,高,高,同一文件连续冲突或回归缺陷出现,打开,FE-A,由 FE-A 统一合并该文件并设置改动窗口,将模式切换逻辑拆到子组件减少冲突,2026-04-28
R-002,前后端校验规则不一致,前端允许发布但后端拒绝或反之,P2,中,高,高,联调时同一图在两端结论不一致,打开,BE,以后端为唯一裁决并同步错误码字典,前端仅显示后端错误并移除本地强判断,2026-04-29
R-003,历史模板无 graph 数据,旧模板无法在设计器中回显或映射异常,P1|P3,中,中,中,打开旧模板时报错或空白画布,打开,FE-B,使用 stagesToGraph 自动转换并提示迁移视图,提供一键回到表单模式编辑,2026-04-29
R-004,发布事务半更新,发布中断导致 stages 与 graph 状态不一致,P2,低,高,高,发布失败后数据库出现部分更新,监控中,BE,强制单事务并覆盖异常路径测试,发布失败自动回滚并记录审计日志,2026-04-30
R-005,编译规则覆盖不足,V1 不支持结构被误用于生产流程,P2,中,中,中,用户创建分支汇聚流程后无法发布,打开,PM+BE,在 UI 明示 V1 可编译子集并发布前阻断,输出“不可编译原因+整改建议”,2026-04-30
R-006,执行态映射不准确,current_stage_index 与图节点映射错误导致误导展示,P3,中,高,高,时间线与流程图状态冲突,打开,FE-B,统一 runtimeMapper 规则并补事件字段,降级展示线性阶段视图,2026-05-01
R-007,深浅色主题可读性差,状态颜色在暗色主题下区分度不足,P3,中,中,中,用户反馈状态难辨识或误判,打开,FE-A,使用 token 驱动配色并做双主题验收,增加图例与文字状态标签,2026-05-01
R-008,性能下降,大图或大量事件导致详情页卡顿,P3,中,中,中,打开任务详情超过1秒或交互掉帧,打开,FE-A+FE-B,限制节点规模并按需渲染时间线,引入虚拟列表并延迟计算边状态,2026-05-02
R-009,错误码不稳定,错误信息不可追踪影响联调效率,P1|P2,中,中,中,相同错误返回不同 message 或 code,打开,BE,统一 WF_ 前缀错误码和映射文档,增加错误码回归用例,2026-04-30
R-010,需求膨胀影响排期,Phase 内加入 DAG 真执行等超范围需求,P1|P2|P3,中,高,高,新增需求频繁且无排期评审,打开,PM,严格阶段边界并需求变更评审,新增需求全部放入 Phase4 Backlog,2026-04-28
